iron_concentrate_ukraine_dollar_tonn_ship_dap,iron_pellets_russia_east_dollar_tonn_dap,iron_concentrate_weighted_average_percent_russia_rub_tonn_ship_fca,iron_pellets_weighted_average_percent_russia_rub_tonn_ship_fca,iron_concentrate_russia_rub_tonn_ship_fca,iron_china_ship_cfr,iron_concentrate_russia_east_dollar_tonn_ship_dap,iron_itally_dollar_tonn_ship_cfr,iron_pellets_ukraine_dollar_tonn_ship_dap,iron_pellets_weighted_average_russia_rub_tonn_ship_fca,iron_concentrate_weighted_average_russia_rub_tonn_ship_fca,iron_pellets_russia_rub_tonn_ship_fca,iron_agloruda_weighted_average_percent_russia_rub_tonn_ship_fca,iron_agloruda_weighted_average_percent_russia_rub_tonn_ship_fca,iron_agloruda_russia_rub_tonn_ship_fca,iron_russia_rub_tonn_ship_fca,dt
98.0,94.0,71.0,113.0,5000.0,85,73.5,290.0,142.5,7120.0,4621.0,7760.0,3668.0,55.0,3765.0,,2019-03-18
98.0,94.0,71.0,113.0,5000.0,86,74.5,310.0,142.5,7120.0,4621.0,7760.0,3668.0,55.0,3765.0,,2019-03-25
97.0,93.0,79.0,122.0,5000.0,85,74.5,310.0,139.5,7718.0,5043.0,7760.0,3989.0,62.0,3765.0,,2019-04-01
97.0,93.0,79.0,122.0,5100.0,91,81.0,307.5,139.5,7718.0,5043.0,7805.0,3989.0,62.0,3792.5,,2019-04-08
97.0,99.0,79.0,122.0,5100.0,95,85.5,302.5,139.5,7718.0,5043.0,7805.0,3989.0,62.0,3792.5,,2019-04-15
97.0,98.0,79.0,122.0,5100.0,93,84.0,300.0,139.5,7718.0,5043.0,7805.0,3989.0,62.0,3792.5,,2019-04-22
100.0,98.0,79.0,123.0,5100.0,93,84.0,297.5,146.5,7727.0,5151.0,7805.0,3994.0,64.0,3792.5,,2019-04-29
100.0,99.0,79.0,123.0,4975.0,94,85.0,292.5,146.5,7727.0,5151.0,7890.0,3994.0,64.0,3900.0,,2019-05-06
100.0,102.0,79.0,123.0,4975.0,95,85.0,287.5,146.5,7727.0,5151.0,7890.0,3994.0,64.0,3900.0,,2019-05-13
100.0,108.0,79.0,123.0,4975.0,96,86.0,290.0,146.5,7727.0,5151.0,7890.0,3994.0,64.0,3900.0,,2019-05-20
106.0,108.0,80.0,123.0,4975.0,103,95.0,297.5,145.5,7829.0,5175.0,7890.0,3119.0,53.0,3900.0,,2019-05-27
106.0,109.0,80.0,123.0,4975.0,103,95.0,292.5,145.5,7829.0,5175.0,7890.0,3119.0,53.0,3900.0,,2019-06-03
106.0,110.0,80.0,123.0,5225.0,99,92.5,287.5,145.5,7829.0,5175.0,7425.0,3119.0,53.0,3690.0,,2019-06-10
106.0,117.0,80.0,123.0,5225.0,107,99.5,277.5,145.5,7829.0,5175.0,7425.0,3119.0,53.0,3690.0,,2019-06-17
106.0,123.0,80.0,123.0,5225.0,114,106.5,267.5,145.5,7829.0,5175.0,7425.0,3119.0,53.0,3690.0,,2019-06-24
111.0,125.0,89.0,122.0,5225.0,116,108.5,270.0,159.5,7685.0,5345.0,7425.0,2874.0,50.0,3690.0,,2019-07-01
111.0,130.0,89.0,122.0,5275.0,122,116.0,270.0,159.5,7685.0,5345.0,7410.0,2874.0,50.0,3050.0,,2019-07-08
111.0,127.5,89.0,122.0,5275.0,120,114.5,265.0,159.5,7685.0,5345.0,7410.0,2874.0,50.0,3050.0,,2019-07-15
111.0,128.5,89.0,122.0,5275.0,121,115.5,265.0,159.5,7685.0,5345.0,7410.0,2874.0,50.0,3050.0,,2019-07-22
113.5,124.5,84.0,117.0,5275.0,117,111.5,265.0,164.5,7375.0,5432.0,7410.0,3009.0,49.0,3050.0,,2019-07-29
113.5,124.0,84.0,117.0,5675.0,116,110.5,265.0,164.5,7375.0,5432.0,8170.0,3009.0,49.0,3475.0,,2019-08-05
113.5,106.0,84.0,117.0,5675.0,96,90.5,265.0,164.5,7375.0,5432.0,8170.0,3009.0,49.0,3475.0,,2019-08-12
113.5,100.0,84.0,117.0,5675.0,89,83.5,265.0,164.5,7375.0,5432.0,8170.0,3009.0,49.0,3475.0,,2019-08-19
76.0,98.0,88.0,128.0,5675.0,87,81.5,262.5,134.5,8067.0,5957.0,8170.0,3427.0,53.0,3475.0,,2019-08-26
76.0,95.0,88.0,128.0,5675.0,84,78.5,260.0,134.5,8067.0,5957.0,8170.0,3427.0,53.0,3475.0,,2019-09-02
76.0,97.0,88.0,128.0,5300.0,90,84.5,247.5,134.5,8067.0,5957.0,7050.0,3427.0,53.0,3725.0,,2019-09-09
76.0,97.0,88.0,128.0,5300.0,95,88.5,242.5,134.5,8067.0,5957.0,7050.0,3427.0,53.0,3725.0,,2019-09-16
76.0,100.5,88.0,128.0,5300.0,95,88.5,240.0,134.5,8067.0,5957.0,7050.0,3427.0,53.0,3725.0,,2019-09-23
76.0,102.0,81.0,112.0,5300.0,91,85.0,232.5,112.5,7063.0,5274.0,7050.0,3549.0,50.0,3725.0,,2019-09-30
76.0,105.0,81.0,112.0,4125.0,94,88.0,232.5,112.5,7063.0,5274.0,5275.0,3549.0,50.0,2475.0,,2019-10-07
76.0,104.0,81.0,112.0,4125.0,93,87.0,232.5,112.5,7063.0,5274.0,5275.0,3549.0,50.0,2475.0,,2019-10-14
76.0,99.0,81.0,112.0,4125.0,88,82.0,242.5,112.5,7063.0,5274.0,5275.0,3549.0,50.0,2475.0,,2019-10-21
76.0,99.0,57.0,82.0,4125.0,87,82.0,252.5,107.5,5173.0,4040.0,5275.0,2716.0,46.0,2475.0,,2019-10-28
76.0,99.0,57.0,82.0,4125.0,85,79.0,255.0,107.5,5173.0,4040.0,5275.0,2716.0,46.0,2475.0,,2019-11-04
76.0,98.0,57.0,82.0,3925.0,82,78.0,260.0,107.5,5173.0,4040.0,5200.0,2716.0,46.0,2460.0,,2019-11-11
76.0,101.0,57.0,82.0,3925.0,82,78.0,260.0,107.5,5173.0,4040.0,5200.0,2716.0,46.0,2460.0,,2019-11-18
76.0,103.5,57.0,82.0,3925.0,86,82.0,265.0,107.5,5173.0,4040.0,5200.0,2716.0,46.0,2460.0,,2019-11-25
76.0,103.5,60.0,80.0,3925.0,88,84.0,270.0,106.0,5075.0,3998.0,5200.0,2561.0,44.0,2460.0,,2019-12-02
76.0,103.5,60.0,80.0,3600.0,89,84.0,280.0,106.0,5075.0,3998.0,4600.0,2561.0,44.0,2375.0,,2019-12-09
76.0,107.5,60.0,80.0,3600.0,94,89.0,285.0,106.0,5075.0,3998.0,4600.0,2561.0,44.0,2375.0,,2019-12-16
76.0,107.5,60.0,80.0,3600.0,93,88.0,285.0,106.0,5075.0,3998.0,4600.0,2561.0,44.0,2375.0,,2019-12-23
83.0,107.5,52.0,73.0,3600.0,91,86.0,285.0,112.0,4642.0,3477.0,4600.0,2462.0,43.0,2375.0,,2019-12-30
83.0,108.5,52.0,73.0,3950.0,92,87.0,285.0,112.0,4642.0,3477.0,4850.0,2462.0,43.0,2750.0,,2020-01-06
83.0,109.5,52.0,73.0,3950.0,94,89.0,282.5,112.0,4642.0,3477.0,4850.0,2462.0,43.0,2750.0,,2020-01-13
83.0,113.0,52.0,73.0,3950.0,95,90.0,287.5,112.0,4642.0,3477.0,4850.0,2462.0,43.0,2750.0,,2020-01-20
87.0,116.0,57.0,77.0,3950.0,94,89.0,282.5,109.5,4875.0,3766.0,4850.0,2584.0,46.0,2750.0,,2020-01-27
87.0,113.0,57.0,77.0,3950.0,84,80.0,270.0,109.5,4875.0,3766.0,4850.0,2584.0,46.0,2750.0,,2020-02-03
87.0,115.0,57.0,77.0,3900.0,82,78.0,258.0,109.5,4875.0,3766.0,5135.0,2584.0,46.0,2750.0,,2020-02-10
87.0,115.0,57.0,77.0,3900.0,86,82.0,260.0,109.5,4875.0,3766.0,5135.0,2584.0,46.0,2750.0,,2020-02-17
87.0,115.0,57.0,77.0,3900.0,90,86.0,265.0,109.5,4875.0,3766.0,5135.0,2584.0,46.0,2750.0,,2020-02-24
87.0,117.0,58.0,79.0,3900.0,88,84.0,265.0,103.5,5022.0,3796.0,5135.0,2741.0,46.0,2750.0,,2020-03-02
87.0,117.0,58.0,79.0,3700.0,90,86.0,265.0,103.5,5022.0,3796.0,4880.0,2741.0,46.0,2650.0,,2020-03-09
87.0,117.0,58.0,79.0,3700.0,90,86.0,260.0,103.5,5022.0,3796.0,4880.0,2741.0,46.0,2650.0,,2020-03-16
87.0,116.0,58.0,79.0,3700.0,90,86.0,237.5,103.5,5022.0,3796.0,4880.0,2741.0,46.0,2650.0,,2020-03-23
89.5,104.5,54.0,75.0,3700.0,85,81.0,212.5,110.5,4779.0,3562.0,4880.0,2470.0,44.0,2650.0,,2020-03-30
89.5,104.5,54.0,75.0,4050.0,83,79.0,212.5,110.5,4779.0,3562.0,5355.0,2470.0,44.0,2715.0,,2020-04-06
89.5,104.5,54.0,75.0,4050.0,83,79.0,232.5,110.5,4779.0,3562.0,5355.0,2470.0,44.0,2405.0,,2020-04-13
89.5,102.5,54.0,75.0,4050.0,85,81.0,235.0,110.5,4779.0,3562.0,5355.0,2470.0,44.0,2405.0,,2020-04-20
83.5,98.5,62.0,83.0,4050.0,84,80.0,235.0,101.0,5281.0,4072.0,5355.0,2210.0,44.0,2405.0,,2020-04-27
83.5,96.5,62.0,83.0,4050.0,83,79.0,237.5,101.0,5281.0,4072.0,5355.0,2210.0,44.0,2405.0,,2020-05-04
83.5,101.5,62.0,83.0,4075.0,85,81.0,247.5,101.0,5281.0,4072.0,5725.0,2210.0,44.0,2402.5,,2020-05-11
83.5,103.5,62.0,83.0,4075.0,91,86.5,251.5,101.0,5281.0,4072.0,5725.0,2210.0,44.0,2402.5,,2020-05-18
83.5,109.0,62.0,83.0,4075.0,97,92.5,256.5,101.0,5281.0,4072.0,5725.0,2210.0,44.0,2402.5,,2020-05-25
96.0,110.0,63.0,89.0,4075.0,97,92.5,262.5,113.0,5645.0,4206.0,5725.0,2399.0,44.0,2402.5,,2020-06-01
96.0,111.5,63.0,89.0,4025.0,101,96.0,267.5,113.0,5645.0,4206.0,5695.0,2399.0,44.0,2880.0,,2020-06-08
96.0,111.5,63.0,89.0,4025.0,105,98.0,267.5,113.0,5645.0,4206.0,5695.0,2399.0,44.0,2880.0,,2020-06-15
96.0,108.5,63.0,89.0,4025.0,104,96.0,262.5,113.0,5645.0,4206.0,5695.0,2399.0,44.0,2880.0,,2020-06-22
98.5,106.5,61.0,88.0,4025.0,104,96.0,260.0,117.5,5566.0,4012.0,5695.0,2304.0,42.0,2880.0,,2020-06-29
98.5,106.5,61.0,88.0,4580.0,101,92.0,260.0,117.5,5566.0,4012.0,6240.0,2304.0,42.0,2600.0,,2020-07-06
98.5,108.0,61.0,88.0,4580.0,105,95.0,262.5,117.5,5566.0,4012.0,6240.0,2304.0,42.0,2600.0,,2020-07-13
98.5,109.0,61.0,88.0,4580.0,112,99.5,267.5,117.5,5566.0,4012.0,6240.0,2304.0,42.0,2600.0,,2020-07-20
100.5,108.0,70.0,98.0,4580.0,110,97.5,272.5,120.0,6256.0,4645.0,6240.0,2577.0,46.0,2600.0,,2020-07-27
100.5,109.0,70.0,98.0,4580.0,110,97.5,275.0,120.0,6256.0,4645.0,6240.0,2577.0,46.0,2600.0,,2020-08-03
100.5,112.5,70.0,98.0,4825.0,119,105.5,285.0,120.0,6256.0,4645.0,6575.0,2577.0,46.0,2765.0,,2020-08-10
100.5,112.5,70.0,98.0,4825.0,122,108.5,287.5,120.0,6256.0,4645.0,6575.0,2577.0,46.0,2765.0,,2020-08-17
100.5,117.0,70.0,98.0,4825.0,127,113.5,285.0,120.0,6256.0,4645.0,6575.0,2577.0,46.0,2765.0,,2020-08-24
107.5,116.0,75.0,103.0,4825.0,123,111.0,285.0,136.5,6418.0,4936.0,6575.0,2651.0,47.0,2765.0,,2020-08-31
107.5,121.5,75.0,103.0,6050.0,127,114.5,292.5,136.5,6418.0,4936.0,7570.0,2651.0,47.0,3060.0,,2020-09-07
107.5,127.5,75.0,103.0,6950.0,128,114.5,297.5,136.5,6418.0,4936.0,7570.0,2651.0,47.0,3060.0,,2020-09-14
107.5,129.5,75.0,103.0,5625.0,126,112.5,295.0,136.5,6418.0,4936.0,7570.0,2651.0,47.0,3060.0,,2020-09-21
114.5,120.5,97.0,119.0,5625.0,117,103.5,295.0,139.5,7441.0,6257.0,7570.0,2888.0,50.0,2980.0,,2020-09-28
114.5,123.5,97.0,119.0,6150.0,121,107.5,287.5,139.5,7441.0,6257.0,8445.0,2888.0,50.0,3390.0,,2020-10-05
114.5,126.0,97.0,119.0,6150.0,124,110.5,282.5,139.5,7441.0,6257.0,8445.0,2888.0,50.0,3390.0,,2020-10-12
114.5,124.0,97.0,119.0,6150.0,121,106.0,272.5,139.5,7441.0,6257.0,8445.0,2888.0,50.0,3390.0,,2020-10-19
111.0,126.0,94.0,131.0,6150.0,119,103.5,277.5,136.5,8225.0,6210.0,8445.0,3330.0,56.0,3390.0,,2020-10-26
111.0,125.0,94.0,131.0,6150.0,116,100.5,277.5,136.5,8225.0,6210.0,8445.0,3330.0,56.0,3390.0,,2020-11-02
111.0,128.0,94.0,131.0,6650.0,118,102.5,280.0,136.5,8225.0,6210.0,8445.0,3330.0,56.0,3445.0,,2020-11-09
111.0,132.0,94.0,131.0,6650.0,123,107.5,282.5,136.5,8225.0,6210.0,8445.0,3330.0,56.0,3445.0,,2020-11-16
111.0,135.0,94.0,131.0,6650.0,127,111.5,292.5,136.5,8225.0,6210.0,8445.0,3330.0,56.0,3445.0,,2020-11-23
117.0,137.0,95.0,130.0,6650.0,129,113.5,312.5,145.5,8184.0,6382.0,8445.0,3442.0,57.0,3445.0,,2020-11-30
117.0,147.0,95.0,130.0,6635.0,137,121.5,327.5,145.5,8184.0,6382.0,8450.0,3442.0,57.0,3440.0,,2020-12-07
117.0,157.0,95.0,130.0,6635.0,153,137.5,357.5,145.5,8184.0,6382.0,8450.0,3442.0,57.0,3440.0,,2020-12-14
117.0,163.0,95.0,130.0,6635.0,158,142.5,387.5,145.5,8184.0,6382.0,8450.0,3442.0,57.0,3440.0,,2020-12-21
148.5,184.0,94.0,131.0,6635.0,168,152.5,407.5,175.0,8216.0,6236.0,8450.0,3432.0,56.0,3440.0,,2020-12-28
148.5,181.0,94.0,131.0,6635.0,161,145.5,412.5,175.0,8216.0,6236.0,8450.0,3432.0,56.0,3440.0,,2021-01-04
148.5,190.0,94.0,131.0,8100.0,168,152.5,412.5,175.0,8216.0,6236.0,9885.0,3432.0,56.0,4025.0,,2021-01-11
148.5,194.0,94.0,131.0,8100.0,171,155.5,402.5,175.0,8216.0,6236.0,9885.0,3432.0,56.0,4025.0,,2021-01-18
148.5,196.0,94.0,131.0,8100.0,170,154.5,382.5,175.0,8216.0,6236.0,9885.0,3432.0,56.0,4025.0,,2021-01-25
166.0,192.0,118.0,151.0,8100.0,163,147.5,367.5,189.0,9443.0,7682.0,9885.0,4008.0,64.0,4025.0,,2021-02-01
166.0,183.0,118.0,151.0,9585.0,154,138.5,367.5,189.0,9443.0,7682.0,11515.0,4008.0,64.0,6600.0,,2021-02-08
166.0,189.0,118.0,151.0,9585.0,164,148.5,382.5,189.0,9443.0,7682.0,11515.0,4008.0,64.0,6600.0,,2021-02-15
166.0,190.0,118.0,151.0,9585.0,170,154.5,397.5,189.0,9443.0,7682.0,11515.0,4008.0,64.0,6600.0,,2021-02-22
167.0,195.0,152.0,179.0,9585.0,174,162.5,422.5,191.5,11218.0,9905.0,11515.0,6679.0,93.0,6600.0,,2021-03-01
167.0,201.0,152.0,179.0,9425.0,176,164.5,437.5,191.5,11218.0,9905.0,11575.0,6679.0,93.0,4075.0,,2021-03-08
167.0,194.0,152.0,179.0,9425.0,168,156.5,432.5,191.5,11218.0,9905.0,11575.0,6679.0,93.0,4075.0,,2021-03-15
167.0,190.5,152.0,179.0,9425.0,164,152.5,427.5,191.5,11218.0,9905.0,11575.0,6679.0,93.0,4075.0,,2021-03-22
169.0,190.5,147.0,182.0,9425.0,160,148.5,425.0,195.0,11388.0,9677.0,11575.0,4524.0,71.0,4075.0,,2021-03-29
169.0,201.5,147.0,182.0,10375.0,167,155.5,425.0,195.0,11388.0,9677.0,12825.0,4524.0,71.0,4550.0,,2021-04-05
169.0,205.5,147.0,182.0,10375.0,171,159.5,427.5,195.0,11388.0,9677.0,12825.0,4524.0,71.0,4550.0,,2021-04-12
169.0,210.0,147.0,182.0,10375.0,175,158.5,427.5,195.0,11388.0,9677.0,12825.0,4524.0,71.0,4550.0,,2021-04-19
183.5,219.0,160.0,205.0,10375.0,185,160.0,431.5,222.5,12736.0,10537.0,12825.0,4439.0,70.0,4550.0,,2021-04-26
183.5,228.0,160.0,205.0,10375.0,191,166.0,440.0,222.5,12736.0,10537.0,12825.0,4439.0,70.0,4550.0,,2021-05-03
183.5,233.0,160.0,205.0,10050.0,197,172.0,462.5,222.5,12736.0,10537.0,14025.0,4439.0,70.0,4675.0,,2021-05-10
183.5,256.0,160.0,205.0,10050.0,225,200.0,497.5,222.5,12736.0,10537.0,14025.0,4439.0,70.0,4675.0,,2021-05-17
183.5,244.0,160.0,205.0,10050.0,213,188.0,500.0,222.5,12736.0,10537.0,14025.0,4439.0,70.0,4675.0,,2021-05-24
204.0,224.0,158.0,224.0,10050.0,189,164.0,506.0,248.5,13956.0,10279.0,14025.0,4420.0,72.0,4675.0,,2021-05-31
204.0,241.0,158.0,224.0,12000.0,207,182.0,501.5,248.5,13956.0,10279.0,16750.0,4420.0,72.0,5390.0,,2021-06-07
204.0,246.0,158.0,224.0,12000.0,213,187.0,520.0,248.5,13956.0,10279.0,16750.0,4420.0,72.0,5390.0,,2021-06-14
204.0,253.0,158.0,224.0,12000.0,219,192.0,520.0,248.5,13956.0,10279.0,16750.0,4420.0,72.0,5390.0,,2021-06-21
218.0,250.0,188.0,262.0,12000.0,214,187.0,517.5,265.0,16293.0,12288.0,16750.0,5231.0,82.0,5390.0,,2021-06-28
218.0,259.0,188.0,262.0,12090.0,218,191.0,517.5,265.0,16293.0,12288.0,16450.0,5231.0,82.0,5475.0,,2021-07-05
218.0,260.0,188.0,262.0,12090.0,220,193.0,512.5,265.0,16293.0,12288.0,16450.0,5231.0,82.0,5475.0,,2021-07-12
218.0,255.0,188.0,262.0,12090.0,220,193.0,495.0,265.0,16293.0,12288.0,16450.0,5231.0,82.0,5475.0,,2021-07-19
211.0,241.0,187.0,260.0,12090.0,209,182.0,487.5,268.0,16162.0,12403.0,16450.0,5313.0,87.0,5475.0,,2021-07-26
211.0,222.0,187.0,260.0,12090.0,196,169.0,482.5,268.0,16162.0,12403.0,16450.0,5313.0,87.0,5475.0,,2021-08-02
211.0,199.0,187.0,260.0,12715.0,178,151.0,472.5,268.0,16162.0,12403.0,17750.0,5313.0,87.0,5750.0,,2021-08-09
211.0,181.0,187.0,260.0,12715.0,163,137.0,462.5,268.0,16162.0,12403.0,17750.0,5313.0,87.0,5750.0,,2021-08-16
211.0,167.0,187.0,260.0,12715.0,149,123.0,452.5,268.0,16162.0,12403.0,17750.0,5313.0,87.0,5750.0,,2021-08-23
153.0,163.0,192.0,278.0,12715.0,149,123.0,447.5,211.5,17343.0,12649.0,17750.0,5581.0,97.0,5750.0,,2021-08-30
153.0,160.0,192.0,278.0,10365.0,148,122.0,445.5,211.5,17343.0,12649.0,15600.0,5581.0,97.0,4675.0,,2021-09-06
153.0,146.0,192.0,278.0,10365.0,132,106.0,442.5,211.5,17343.0,12649.0,15600.0,5581.0,97.0,4675.0,,2021-09-13
153.0,136.0,192.0,278.0,10365.0,113,88.0,441.0,211.5,17343.0,12649.0,15600.0,5581.0,97.0,4675.0,,2021-09-20
107.0,135.0,159.0,249.0,10365.0,103,78.0,441.0,163.5,15503.0,10349.0,15600.0,4482.0,81.0,4675.0,,2021-09-27
107.0,152.0,159.0,249.0,10365.0,116,91.0,437.5,163.5,15503.0,10349.0,15600.0,4482.0,81.0,4675.0,,2021-10-04
107.0,158.0,159.0,249.0,7650.0,119,94.0,452.5,163.5,15503.0,10349.0,13300.0,4482.0,81.0,3585.0,,2021-10-11
107.0,180.0,159.0,249.0,7650.0,128,114.5,473.5,163.5,15503.0,10349.0,13300.0,4482.0,81.0,3585.0,,2021-10-18
107.0,179.0,159.0,249.0,7650.0,122,109.5,493.5,163.5,15503.0,10349.0,13300.0,4482.0,81.0,3585.0,,2021-10-25
105.0,177.0,119.0,207.0,7650.0,116,103.5,493.5,149.0,12987.0,7857.0,13300.0,3460.0,68.0,3585.0,,2021-11-01
105.0,161.0,119.0,207.0,6125.0,98,85.5,492.5,149.0,12987.0,7857.0,10550.0,3460.0,68.0,3140.0,,2021-11-08
105.0,154.0,119.0,207.0,6125.0,92,82.5,497.5,149.0,12987.0,7857.0,10550.0,3460.0,68.0,3140.0,,2021-11-15
105.0,148.0,119.0,207.0,6125.0,90,80.5,497.5,149.0,12987.0,7857.0,10550.0,3460.0,68.0,3140.0,,2021-11-22
85.0,146.0,96.0,172.0,6125.0,99,89.5,492.5,137.0,10753.0,6282.0,10550.0,3088.0,63.0,3140.0,,2021-11-29
85.0,143.0,96.0,172.0,5525.0,100,89.5,482.5,137.0,10753.0,6282.0,8950.0,3088.0,63.0,2665.0,,2021-12-06
85.0,152.0,96.0,172.0,5525.0,105,94.5,467.5,137.0,10753.0,6282.0,8950.0,3088.0,63.0,2665.0,,2021-12-13
85.0,159.0,96.0,172.0,5525.0,112,101.5,467.5,137.0,10753.0,6282.0,8950.0,3088.0,63.0,2665.0,,2021-12-20
106.0,173.0,88.0,148.0,5525.0,124,0.0,462.5,151.5,9244.0,5901.0,8950.0,2687.0,55.0,2665.0,,2021-12-27
106.0,168.5,88.0,148.0,5525.0,118,107.0,462.5,151.5,9244.0,5901.0,8950.0,2687.0,55.0,2665.0,,2022-01-03
106.0,170.5,88.0,148.0,6575.0,125,114.5,462.5,151.5,9244.0,5901.0,9900.0,2687.0,55.0,2825.0,,2022-01-10
106.0,176.5,88.0,148.0,6575.0,128,117.5,467.5,151.5,9244.0,5901.0,9900.0,2687.0,55.0,2825.0,,2022-01-17
106.0,183.5,88.0,148.0,6575.0,131,120.5,467.5,151.5,9244.0,5901.0,9900.0,2687.0,55.0,2825.0,,2022-01-24
136.0,190.5,99.0,156.0,6575.0,139,128.5,470.0,184.5,9728.0,6527.0,9900.0,2852.0,59.0,2825.0,,2022-01-31
136.0,197.5,99.0,156.0,8135.0,145,134.5,492.5,184.5,9728.0,6527.0,11845.0,2852.0,59.0,3365.0,,2022-02-07
136.0,200.5,99.0,156.0,8135.0,150,144.5,502.5,184.5,9728.0,6527.0,11845.0,2852.0,59.0,3365.0,,2022-02-14
136.0,187.5,99.0,156.0,8135.0,138,132.5,507.5,184.5,9728.0,6527.0,11845.0,2852.0,59.0,3365.0,,2022-02-21
146.0,185.5,118.0,182.0,8135.0,137,131.5,512.5,195.5,11355.0,7823.0,11845.0,3405.0,67.0,3365.0,,2022-02-28
146.0,197.5,118.0,182.0,9660.0,147,144.5,590.0,195.5,11355.0,7823.0,13800.0,3405.0,67.0,4375.0,,2022-03-07
146.0,214.0,118.0,182.0,9660.0,159,156.0,646.5,195.5,11355.0,7823.0,13800.0,3405.0,67.0,4375.0,,2022-03-14
146.0,201.0,118.0,182.0,9660.0,145,142.0,657.5,195.5,11355.0,7823.0,13800.0,3405.0,67.0,4375.0,,2022-03-21
146.0,200.0,139.0,211.0,9660.0,147,144.0,657.5,198.5,13189.0,9164.0,13800.0,4181.0,79.0,4375.0,,2022-03-28
146.0,205.0,139.0,211.0,9660.0,156,153.0,655.0,198.5,13189.0,9164.0,13800.0,4181.0,79.0,4375.0,,2022-04-04
146.0,203.0,139.0,211.0,6950.0,158,155.0,652.5,198.5,13189.0,9164.0,11050.0,4181.0,79.0,3700.0,,2022-04-11
146.0,197.5,139.0,211.0,6950.0,152,150.0,642.5,198.5,13189.0,9164.0,11050.0,4181.0,79.0,3700.0,,2022-04-18
146.0,194.5,139.0,211.0,6950.0,151,129.5,617.5,198.5,13189.0,9164.0,11050.0,4181.0,79.0,3700.0,,2022-04-25
145.5,179.5,111.0,174.0,6950.0,140,118.5,557.5,210.0,10929.0,7233.0,11050.0,3605.0,68.0,3700.0,,2022-05-02
145.5,182.5,111.0,174.0,7000.0,143,121.5,535.0,210.0,10929.0,7233.0,10900.0,3605.0,68.0,3650.0,,2022-05-09
145.5,165.5,111.0,174.0,7000.0,130,108.5,492.5,210.0,10929.0,7233.0,10900.0,3605.0,68.0,3650.0,,2022-05-16
145.5,166.5,111.0,174.0,7000.0,131,109.5,465.0,210.0,10929.0,7233.0,10900.0,3605.0,68.0,3650.0,,2022-05-23
119.0,169.5,109.0,172.0,7000.0,133,111.5,462.5,181.0,10809.0,7110.0,10900.0,3864.0,69.0,3650.0,,2022-05-30
119.0,175.5,109.0,172.0,4775.0,139,116.5,437.5,181.0,10809.0,7110.0,6025.0,3864.0,69.0,2825.0,,2022-06-06
119.0,179.5,109.0,172.0,4775.0,145,122.5,422.5,181.0,10809.0,7110.0,6025.0,3864.0,69.0,2825.0,,2022-06-13
119.0,164.5,109.0,172.0,4775.0,131,108.5,377.5,181.0,10809.0,7110.0,6025.0,3864.0,69.0,2825.0,,2022-06-20
118.0,146.5,74.0,108.0,4775.0,114,91.5,337.5,178.5,6778.0,4950.0,6025.0,2760.0,56.0,2825.0,,2022-06-27
118.0,149.5,74.0,108.0,4775.0,121,98.5,342.5,178.5,6778.0,4950.0,6025.0,2760.0,56.0,2825.0,,2022-07-04
118.0,139.5,74.0,108.0,3325.0,113,90.5,402.5,178.5,6778.0,4950.0,4825.0,2760.0,56.0,2025.0,,2022-07-11
118.0,129.5,74.0,108.0,3325.0,103,80.5,412.5,178.5,6778.0,4950.0,4825.0,2760.0,56.0,2025.0,,2022-07-18
118.0,124.5,74.0,108.0,3325.0,98,75.5,385.0,178.5,6778.0,4950.0,4825.0,2760.0,56.0,2025.0,,2022-07-25
90.0,127.5,51.0,72.0,3325.0,112,79.5,355.0,159.0,4602.0,3405.0,4825.0,1984.0,41.0,2025.0,,2022-08-01
90.0,123.5,51.0,72.0,3350.0,109,76.5,355.0,159.0,4602.0,3405.0,4575.0,1984.0,41.0,2000.0,,2022-08-08
90.0,123.5,51.0,72.0,3350.0,109,76.5,390.0,159.0,4602.0,3405.0,4575.0,1984.0,41.0,2000.0,,2022-08-15
90.0,116.5,51.0,72.0,3350.0,102,69.5,392.5,159.0,4602.0,3405.0,4575.0,1984.0,41.0,2000.0,,2022-08-22
98.0,116.5,52.0,71.0,3350.0,103,70.5,397.5,163.0,4507.0,3470.0,4575.0,1950.0,39.0,2000.0,,2022-08-29
98.0,108.5,52.0,71.0,3800.0,98,65.5,397.5,163.0,4507.0,3470.0,5050.0,1950.0,39.0,2025.0,,2022-09-05
98.0,108.5,52.0,71.0,3800.0,99,66.5,375.0,163.0,4507.0,3470.0,5050.0,1950.0,39.0,2025.0,,2022-09-12
98.0,110.5,52.0,71.0,3800.0,101,68.5,351.5,163.0,4507.0,3470.0,5050.0,1950.0,39.0,2025.0,,2022-09-19
91.5,110.5,59.0,78.0,3800.0,98,65.5,352.5,149.5,5035.0,3889.0,5050.0,2216.0,47.0,2025.0,,2022-09-26
91.5,108.5,59.0,78.0,3800.0,96,63.5,372.5,149.5,5035.0,3889.0,5050.0,2216.0,47.0,2025.0,,2022-10-03
91.5,108.5,59.0,78.0,3990.0,96,63.5,372.5,149.5,5035.0,3889.0,5050.0,2216.0,47.0,2600.0,,2022-10-10
91.5,109.5,59.0,78.0,3990.0,97,87.0,372.5,149.5,5035.0,3889.0,5050.0,2216.0,47.0,2600.0,,2022-10-17
