coking_coil_russia_kc_rub_tonn_ship_fca,coking_coil_k_russia_ko_rub_tonn_ship_fca,coking_coil_russia_rub_tonn_ship_fca,coking_coil_russia_rub_tonn_ship_fca,coking_coil_russia_rub_tonn_ship_fca,coking_coil_australia_dollar_tonn_ship_fob,coking_coil_average_size_russia_rub_tonn_ship_fca,coking_coil_russia_siberia_rub_tonn_ship_fca,coking_coil_russia_oc_rub_tonn_ship_fca,coking_coil_russia_ko_rub_tonn_ship_fca,dt
6250,9500,8475,7800.0,6650.0,138,7870,21850,8600,7150.0,2021-04-05
6250,9500,8475,7800.0,6650.0,138,7870,21850,8600,7150.0,2021-04-12
6250,9500,8475,7800.0,6650.0,138,7870,21850,8600,7150.0,2021-04-19
6250,9500,8475,7800.0,6650.0,138,7870,21850,8600,7150.0,2021-04-26
6250,9500,8475,7800.0,6650.0,138,7870,21850,8600,7150.0,2021-05-03
6250,9500,8475,7800.0,6650.0,140,7870,22250,8600,7150.0,2021-05-10
6250,9500,8475,7800.0,6650.0,149,7870,22250,8600,7150.0,2021-05-17
6250,9500,8475,7800.0,6650.0,165,7870,22250,8600,7150.0,2021-05-24
6250,9500,8475,7800.0,6650.0,180,7870,22250,8600,7150.0,2021-05-31
6250,9500,8475,7800.0,6650.0,190,7870,24750,8600,7150.0,2021-06-07
6250,9500,8475,7800.0,6650.0,196,7870,24750,8600,7150.0,2021-06-14
6250,9500,8475,7800.0,6650.0,201,7870,24750,8600,7150.0,2021-06-21
6250,9500,8475,7800.0,6650.0,211,7870,24750,8600,7150.0,2021-06-28
9500,14500,10150,10800.0,9500.0,220,10930,28500,11800,10500.0,2021-07-05
9500,14500,10150,10800.0,9500.0,227,10930,28500,11800,10500.0,2021-07-12
9500,14500,10150,10800.0,9500.0,233,10930,28500,11800,10500.0,2021-07-19
9500,14500,10150,10800.0,9500.0,236,10930,28500,11800,10500.0,2021-07-26
9500,14500,10150,10800.0,9500.0,240,10930,28500,11800,10500.0,2021-08-02
9500,14500,10150,10800.0,9500.0,245,10930,28500,11800,10500.0,2021-08-09
9500,14500,10150,10800.0,9500.0,252,10930,28500,11800,10500.0,2021-08-16
9500,14500,10150,10800.0,9500.0,261,10930,28500,11800,10500.0,2021-08-23
9500,14500,10150,10800.0,9500.0,280,10930,28500,11800,10500.0,2021-08-30
9500,14500,10150,10800.0,9500.0,306,10930,28500,11800,10500.0,2021-09-06
9500,14500,10150,10800.0,9500.0,349,10930,28500,11800,10500.0,2021-09-13
9500,14500,10150,10800.0,9500.0,407,10930,28500,11800,10500.0,2021-09-20
9500,14500,10150,10800.0,9500.0,447,10930,28500,11800,10500.0,2021-09-27
9500,14500,10150,10800.0,9500.0,448,10930,28500,11800,10500.0,2021-10-04
16350,26000,17500,21250.0,17000.0,449,19510,40500,21250,19000.0,2021-10-11
16350,26000,17500,21250.0,17000.0,455,19510,40500,21250,19000.0,2021-10-18
16350,26000,17500,21250.0,17000.0,455,19510,40500,21250,19000.0,2021-10-25
16350,26000,17500,21250.0,17000.0,456,19510,40500,21250,19000.0,2021-11-01
16350,26000,17500,21250.0,17000.0,459,19630,42500,22750,19000.0,2021-11-08
16350,26000,17500,21250.0,17000.0,438,19630,42500,22750,19000.0,2021-11-15
16350,26000,17500,21250.0,17000.0,392,19630,42500,22750,19000.0,2021-11-22
16350,26000,17500,21250.0,17000.0,346,19630,42500,22750,19000.0,2021-11-29
15500,23500,16500,19500.0,15250.0,326,18050,42500,20250,17000.0,2021-12-06
15500,23500,16500,19500.0,15250.0,337,18050,42500,20250,17000.0,2021-12-13
15500,23500,16500,19500.0,15250.0,338,18050,42500,20250,17000.0,2021-12-20
15500,23500,16500,19500.0,15250.0,341,18050,42500,20250,17000.0,2021-12-27
15500,23500,16500,19500.0,15250.0,346,18050,42500,20250,17000.0,2022-01-03
15500,23500,16500,19500.0,15250.0,353,18050,42500,20250,17000.0,2022-01-10
15500,23500,16500,19500.0,15250.0,388,18050,42500,20250,17000.0,2022-01-17
15500,23500,16500,19500.0,15250.0,415,18050,42500,20250,17000.0,2022-01-24
15500,23500,16500,19500.0,15250.0,428,18050,42500,20250,17000.0,2022-01-31
16750,26000,21800,24000.0,19600.0,428,21370,42500,22250,18750.0,2022-02-07
16750,26000,21800,24000.0,19600.0,422,21370,42500,22250,18750.0,2022-02-14
16750,26000,21800,24000.0,19600.0,418,21370,42500,22250,18750.0,2022-02-21
16750,26000,21800,24000.0,19600.0,427,21370,42500,22250,18750.0,2022-02-28
16750,26000,21800,24000.0,19600.0,456,21370,42500,22250,18750.0,2022-03-07
16750,26000,21800,24000.0,19600.0,577,21370,42500,22250,18750.0,2022-03-14
16750,26000,21800,24000.0,19600.0,597,21370,42500,22250,18750.0,2022-03-21
16750,26000,21800,24000.0,19600.0,536,21370,42500,22250,18750.0,2022-03-28
16750,26000,21800,24000.0,19600.0,489,21370,42500,22250,18750.0,2022-04-04
14500,24000,21125,24000.0,18250.0,419,20160,40500,21400,18000.0,2022-04-11
14500,24000,21125,24000.0,18250.0,485,20160,40500,21400,18000.0,2022-04-18
14500,24000,21125,24000.0,18250.0,502,20160,40500,21400,18000.0,2022-04-25
14500,24000,21125,24000.0,18250.0,500,20160,40500,21400,18000.0,2022-05-02
14000,24000,19250,24000.0,14500.0,494,19180,40500,21400,18000.0,2022-05-09
14000,24000,19250,24000.0,14500.0,493,19180,40500,21400,18000.0,2022-05-16
14000,24000,19250,24000.0,14500.0,495,19180,40500,21400,18000.0,2022-05-23
14000,24000,19250,24000.0,14500.0,464,19180,40500,21400,18000.0,2022-05-30
8000,20000,15125,19500.0,10750.0,418,14100,25000,14000,9500.0,2022-06-06
8000,20000,15125,19500.0,10750.0,393,14100,25000,14000,9500.0,2022-06-13
8000,20000,15125,19500.0,10750.0,392,14100,25000,14000,9500.0,2022-06-20
8000,20000,15125,19500.0,10750.0,371,14100,25000,14000,9500.0,2022-06-27
8000,20000,15125,19500.0,10750.0,331,14100,25000,14000,9500.0,2022-07-04
6500,11000,8750,11000.0,6500.0,302,8640,18000,8900,7500.0,2022-07-11
6500,11000,8750,11000.0,6500.0,272,8640,18000,8900,7500.0,2022-07-18
6500,11000,8750,11000.0,6500.0,257,8640,18000,8900,7500.0,2022-07-25
6500,11000,8750,11000.0,6500.0,227,8640,18000,8900,7500.0,2022-08-01
5750,10500,7950,10500.0,5400.0,220,7860,14500,7750,6500.0,2022-08-08
5750,10500,7950,10500.0,5400.0,238,7860,14500,7750,6500.0,2022-08-15
5750,10500,7950,10500.0,5400.0,264,7860,14500,7750,6500.0,2022-08-22
5750,10500,7950,10500.0,5400.0,270,7860,14500,7750,6500.0,2022-08-29
5750,10500,7950,10500.0,5400.0,270,7840,14500,7750,6250.0,2022-09-05
5750,10500,7950,10500.0,5400.0,272,7840,14500,7750,6250.0,2022-09-12
5750,10500,7950,10500.0,5400.0,267,7840,14500,7750,6250.0,2022-09-19
5750,10500,7950,10500.0,5400.0,264,7840,14500,7750,6250.0,2022-09-26
5750,10500,7950,10500.0,5400.0,273,7840,14500,7750,6250.0,2022-10-03
6250,9850,7450,9500.0,5400.0,278,7620,14500,8000,6500.0,2022-10-10
6250,9850,7450,9500.0,5400.0,285,7620,14500,8000,6500.0,2022-10-17
6250,9850,7450,9500.0,5400.0,293,7620,14500,8000,6500.0,2022-10-24
6250,9850,7450,9500.0,5400.0,300,7620,14500,8000,6500.0,2022-10-31
6250,10350,7450,9500.0,5400.0,306,7720,15000,8100,6650.0,2022-11-07
6250,10350,7450,9500.0,5400.0,305,7720,15000,8100,6650.0,2022-11-14
6250,10350,7450,9500.0,5400.0,280,7720,15000,8100,6650.0,2022-11-21
6250,10350,7450,9500.0,5400.0,259,7720,15000,8100,6650.0,2022-11-28
6350,9850,7725,9250.0,6200.0,259,7810,15000,8100,7000.0,2022-12-05
6350,9850,7725,9250.0,6200.0,264,7810,15000,8100,7000.0,2022-12-12
6350,9850,7725,9250.0,6200.0,266,7810,15000,8100,7000.0,2022-12-19
6350,9850,7725,9250.0,6200.0,279,7810,15000,8100,7000.0,2022-12-26
6350,9850,7725,9250.0,6200.0,292,7810,15000,8100,7000.0,2023-01-02
6750,11000,8850,10200.0,7500.0,303,8690,14400,8500,7500.0,2023-01-09
6750,11000,8850,10200.0,7500.0,306,8690,14400,8500,7500.0,2023-01-16
6750,11000,8850,10200.0,7500.0,315,8690,14400,8500,7500.0,2023-01-23
6750,11000,8850,10200.0,7500.0,322,8690,14400,8500,7500.0,2023-01-30
7750,11250,8850,10200.0,7500.0,335,9010,17500,9500,7500.0,2023-02-06
7750,11250,8850,10200.0,7500.0,352,9010,17500,9500,7500.0,2023-02-13
7750,11250,8850,10200.0,7500.0,367,9010,17500,9500,7500.0,2023-02-20
7750,11250,8850,10200.0,7500.0,362,9010,17500,9500,7500.0,2023-02-27
8000,11250,8850,10200.0,7500.0,348,9090,18750,10000,7500.0,2023-03-06
8000,11250,8850,10200.0,7500.0,354,9090,18750,10000,7500.0,2023-03-13
